Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2011-01-03,14.926926612854004,15.154905319213867,14.926926612854004,15.123873710632324,14.999898910522461,94513392,GOOGL
2011-01-04,15.155655860900879,15.169670104980469,15.018017768859863,15.06806755065918,14.944551467895508,72907020,GOOGL
2011-01-05,15.016766548156738,15.273524284362793,15.016265869140625,15.241991996765137,15.117049217224121,101190708,GOOGL
2011-01-06,15.282281875610352,15.476225852966309,15.26651668548584,15.352852821350098,15.227002143859863,82229688,GOOGL
2011-01-07,15.413163185119629,15.471721649169922,15.268519401550293,15.42642593383789,15.299971580505371,83963952,GOOGL
2011-01-10,15.385384559631348,15.400150299072266,15.229228973388672,15.370620727539062,15.244624137878418,63104832,GOOGL
2011-01-11,15.458208084106445,15.485485076904297,15.377878189086914,15.415665626525879,15.289299964904785,57514428,GOOGL
2011-01-12,15.499249458312988,15.499249458312988,15.384634971618652,15.437187194824219,15.31064510345459,65242692,GOOGL
2011-01-13,15.439689636230469,15.507257461547852,15.369368553161621,15.432682991027832,15.30617904663086,53306640,GOOGL
2011-01-14,15.45044994354248,15.622371673583984,15.442441940307617,15.62012004852295,15.492077827453613,94529376,GOOGL
2011-01-18,15.667166709899902,16.06581687927246,15.6473970413208,16.006757736206055,15.875547409057617,144535320,GOOGL
2011-01-19,16.069068908691406,16.090089797973633,15.757257461547852,15.80955982208252,15.679965019226074,136107756,GOOGL
2011-01-20,15.821070671081543,15.867868423461914,15.597847938537598,15.684934616088867,15.55636215209961,219212568,GOOGL
2011-01-21,16.00550651550293,16.059309005737305,15.299299240112305,15.311060905456543,15.185550689697266,355819824,GOOGL
2011-01-24,15.20445442199707,15.327577590942383,15.045796394348145,15.292291641235352,15.166937828063965,183784032,GOOGL
2011-01-25,15.220219612121582,15.532782554626465,15.178177833557129,15.513262748718262,15.386096954345703,145726128,GOOGL
2011-01-26,15.523774147033691,15.577828407287598,15.3973970413208,15.42792797088623,15.301461219787598,81442476,GOOGL
2011-01-27,15.462713241577148,15.508008003234863,15.346596717834473,15.435185432434082,15.308661460876465,80687232,GOOGL
2011-01-28,15.492241859436035,15.524524688720703,15.00900936126709,15.039790153503418,14.91650676727295,169074756,GOOGL
2011-01-31,15.10510540008545,15.126876831054688,14.903654098510742,15.02402400970459,14.900869369506836,112083804,GOOGL
2011-02-01,15.127376556396484,15.349099159240723,15.092843055725098,15.291291236877441,15.165945053100586,109702188,GOOGL
2011-02-02,15.290289878845215,15.373873710632324,15.203453063964844,15.315315246582031,15.18977165222168,70357572,GOOGL
2011-02-03,15.252251625061035,15.301551818847656,15.168417930603027,15.26901912689209,15.143855094909668,59744196,GOOGL
2011-02-04,15.26901912689209,15.301301002502441,15.18043041229248,15.289790153503418,15.164457321166992,61969968,GOOGL
2011-02-07,15.269268989562988,15.475225448608398,15.245494842529297,15.372623443603516,15.246610641479492,71912016,GOOGL
2011-02-08,15.388639450073242,15.506256103515625,15.378128051757812,15.474974632263184,15.348123550415039,67728204,GOOGL
